# T [K]		\Lambda[erg/s-cm^3]		n_e [per cm^3 per n_H]
4.2689e+06  2.9389e-23  1.1786e+00
4.2786e+06  2.9351e-23  1.1786e+00
4.2883e+06  2.9314e-23  1.1786e+00
4.2980e+06  2.9277e-23  1.1786e+00
4.3078e+06  2.9240e-23  1.1786e+00
4.3175e+06  2.9203e-23  1.1786e+00
4.3273e+06  2.9167e-23  1.1786e+00
4.3371e+06  2.9131e-23  1.1786e+00
4.3469e+06  2.9094e-23  1.1786e+00
4.3568e+06  2.9059e-23  1.1786e+00
4.3666e+06  2.9023e-23  1.1786e+00
4.3765e+06  2.8989e-23  1.1786e+00
4.3864e+06  2.8955e-23  1.1786e+00
4.3964e+06  2.8921e-23  1.1786e+00
4.4063e+06  2.8887e-23  1.1786e+00
4.4163e+06  2.8854e-23  1.1786e+00
4.4263e+06  2.8821e-23  1.1786e+00
4.4363e+06  2.8788e-23  1.1786e+00
4.4464e+06  2.8755e-23  1.1786e+00
4.4564e+06  2.8722e-23  1.1786e+00
4.4665e+06  2.8689e-23  1.1786e+00
4.4766e+06  2.8654e-23  1.1786e+00
4.4868e+06  2.8619e-23  1.1786e+00
4.4969e+06  2.8583e-23  1.1786e+00
4.5071e+06  2.8548e-23  1.1786e+00
4.5173e+06  2.8513e-23  1.1786e+00
4.5275e+06  2.8479e-23  1.1786e+00
4.5378e+06  2.8444e-23  1.1786e+00
4.5481e+06  2.8410e-23  1.1786e+00
4.5584e+06  2.8375e-23  1.1786e+00
4.5687e+06  2.8341e-23  1.1786e+00
4.5790e+06  2.8308e-23  1.1786e+00
4.5894e+06  2.8275e-23  1.1786e+00
4.5998e+06  2.8243e-23  1.1786e+00
4.6102e+06  2.8211e-23  1.1786e+00
4.6206e+06  2.8178e-23  1.1786e+00
4.6311e+06  2.8146e-23  1.1786e+00
4.6416e+06  2.8114e-23  1.1786e+00
4.6521e+06  2.8083e-23  1.1786e+00
4.6626e+06  2.8051e-23  1.1786e+00
4.6732e+06  2.8020e-23  1.1786e+00
4.6838e+06  2.7989e-23  1.1786e+00
4.6944e+06  2.7959e-23  1.1786e+00
4.7050e+06  2.7929e-23  1.1786e+00
4.7156e+06  2.7899e-23  1.1786e+00
4.7263e+06  2.7870e-23  1.1786e+00
4.7370e+06  2.7840e-23  1.1786e+00
4.7477e+06  2.7811e-23  1.1786e+00
4.7585e+06  2.7782e-23  1.1786e+00
4.7693e+06  2.7753e-23  1.1786e+00
4.7801e+06  2.7724e-23  1.1786e+00
4.7909e+06  2.7695e-23  1.1787e+00
4.8017e+06  2.7668e-23  1.1787e+00
4.8126e+06  2.7640e-23  1.1787e+00
4.8235e+06  2.7613e-23  1.1787e+00
4.8344e+06  2.7586e-23  1.1787e+00
4.8453e+06  2.7559e-23  1.1787e+00
4.8563e+06  2.7532e-23  1.1787e+00
4.8673e+06  2.7505e-23  1.1787e+00
4.8783e+06  2.7478e-23  1.1787e+00
4.8894e+06  2.7452e-23  1.1787e+00
4.9004e+06  2.7425e-23  1.1787e+00
4.9115e+06  2.7400e-23  1.1787e+00
4.9226e+06  2.7375e-23  1.1787e+00
4.9338e+06  2.7350e-23  1.1787e+00
4.9449e+06  2.7325e-23  1.1787e+00
4.9561e+06  2.7300e-23  1.1787e+00
4.9674e+06  2.7276e-23  1.1787e+00
4.9786e+06  2.7251e-23  1.1787e+00
4.9899e+06  2.7227e-23  1.1787e+00
5.0012e+06  2.7203e-23  1.1787e+00
5.0125e+06  2.7178e-23  1.1787e+00
5.0238e+06  2.7151e-23  1.1787e+00
5.0352e+06  2.7124e-23  1.1787e+00
5.0466e+06  2.7097e-23  1.1787e+00
5.0580e+06  2.7070e-23  1.1787e+00
5.0694e+06  2.7043e-23  1.1787e+00
5.0809e+06  2.7017e-23  1.1787e+00
5.0924e+06  2.6990e-23  1.1787e+00
5.1039e+06  2.6964e-23  1.1787e+00
5.1155e+06  2.6937e-23  1.1787e+00
5.1271e+06  2.6911e-23  1.1787e+00
5.1387e+06  2.6886e-23  1.1787e+00
5.1503e+06  2.6861e-23  1.1787e+00
5.1619e+06  2.6836e-23  1.1787e+00
5.1736e+06  2.6811e-23  1.1787e+00
5.1853e+06  2.6786e-23  1.1787e+00
5.1971e+06  2.6762e-23  1.1787e+00
5.2088e+06  2.6737e-23  1.1787e+00
5.2206e+06  2.6713e-23  1.1787e+00
5.2324e+06  2.6689e-23  1.1787e+00
5.2443e+06  2.6665e-23  1.1787e+00
5.2561e+06  2.6641e-23  1.1787e+00
5.2680e+06  2.6618e-23  1.1787e+00
5.2799e+06  2.6596e-23  1.1787e+00
5.2919e+06  2.6573e-23  1.1787e+00
5.3039e+06  2.6550e-23  1.1787e+00
5.3159e+06  2.6528e-23  1.1787e+00
5.3279e+06  2.6505e-23  1.1787e+00
5.3399e+06  2.6483e-23  1.1787e+00
5.3520e+06  2.6461e-23  1.1787e+00
5.3641e+06  2.6439e-23  1.1787e+00
5.3763e+06  2.6417e-23  1.1787e+00
5.3884e+06  2.6396e-23  1.1787e+00
5.4006e+06  2.6375e-23  1.1787e+00
5.4128e+06  2.6355e-23  1.1787e+00
5.4251e+06  2.6334e-23  1.1787e+00
5.4374e+06  2.6314e-23  1.1787e+00
5.4497e+06  2.6293e-23  1.1787e+00
5.4620e+06  2.6273e-23  1.1787e+00
5.4743e+06  2.6253e-23  1.1787e+00
5.4867e+06  2.6233e-23  1.1787e+00
5.4991e+06  2.6213e-23  1.1787e+00
5.5116e+06  2.6194e-23  1.1787e+00
5.5240e+06  2.6175e-23  1.1787e+00
5.5365e+06  2.6157e-23  1.1787e+00
5.5491e+06  2.6138e-23  1.1788e+00
5.5616e+06  2.6120e-23  1.1788e+00
5.5742e+06  2.6101e-23  1.1788e+00
5.5868e+06  2.6083e-23  1.1788e+00
5.5994e+06  2.6065e-23  1.1788e+00
5.6121e+06  2.6047e-23  1.1788e+00
5.6248e+06  2.6029e-23  1.1788e+00
5.6375e+06  2.6008e-23  1.1788e+00
5.6503e+06  2.5987e-23  1.1788e+00
5.6630e+06  2.5967e-23  1.1788e+00
5.6759e+06  2.5946e-23  1.1788e+00
5.6887e+06  2.5926e-23  1.1788e+00
5.7016e+06  2.5905e-23  1.1788e+00
5.7145e+06  2.5885e-23  1.1788e+00
5.7274e+06  2.5865e-23  1.1788e+00
5.7403e+06  2.5845e-23  1.1788e+00
5.7533e+06  2.5825e-23  1.1788e+00
5.7663e+06  2.5806e-23  1.1788e+00
5.7794e+06  2.5787e-23  1.1788e+00
5.7924e+06  2.5769e-23  1.1788e+00
5.8055e+06  2.5750e-23  1.1788e+00
5.8187e+06  2.5732e-23  1.1788e+00
5.8318e+06  2.5713e-23  1.1788e+00
5.8450e+06  2.5695e-23  1.1788e+00
5.8582e+06  2.5677e-23  1.1788e+00
5.8715e+06  2.5659e-23  1.1788e+00
5.8848e+06  2.5642e-23  1.1788e+00
5.8981e+06  2.5624e-23  1.1788e+00
5.9114e+06  2.5608e-23  1.1788e+00
5.9248e+06  2.5591e-23  1.1788e+00
5.9382e+06  2.5575e-23  1.1788e+00
5.9516e+06  2.5558e-23  1.1788e+00
5.9651e+06  2.5542e-23  1.1788e+00
5.9786e+06  2.5526e-23  1.1788e+00
5.9921e+06  2.5510e-23  1.1788e+00
6.0056e+06  2.5494e-23  1.1788e+00
6.0192e+06  2.5478e-23  1.1788e+00
6.0328e+06  2.5463e-23  1.1788e+00
6.0465e+06  2.5448e-23  1.1788e+00
6.0601e+06  2.5434e-23  1.1788e+00
6.0738e+06  2.5419e-23  1.1788e+00
6.0876e+06  2.5405e-23  1.1788e+00
6.1013e+06  2.5391e-23  1.1788e+00
6.1151e+06  2.5377e-23  1.1788e+00
6.1289e+06  2.5363e-23  1.1788e+00
6.1428e+06  2.5349e-23  1.1788e+00
6.1567e+06  2.5336e-23  1.1788e+00
6.1706e+06  2.5322e-23  1.1788e+00
6.1846e+06  2.5310e-23  1.1788e+00
6.1986e+06  2.5297e-23  1.1788e+00
6.2126e+06  2.5285e-23  1.1788e+00
6.2266e+06  2.5273e-23  1.1788e+00
6.2407e+06  2.5260e-23  1.1788e+00
6.2548e+06  2.5248e-23  1.1788e+00
6.2689e+06  2.5237e-23  1.1788e+00
6.2831e+06  2.5225e-23  1.1788e+00
6.2973e+06  2.5213e-23  1.1788e+00
6.3116e+06  2.5202e-23  1.1788e+00
6.3258e+06  2.5187e-23  1.1788e+00
6.3401e+06  2.5173e-23  1.1788e+00
6.3545e+06  2.5159e-23  1.1788e+00
6.3688e+06  2.5145e-23  1.1788e+00
6.3832e+06  2.5132e-23  1.1788e+00
6.3977e+06  2.5118e-23  1.1788e+00
6.4121e+06  2.5105e-23  1.1788e+00
6.4266e+06  2.5092e-23  1.1788e+00
6.4411e+06  2.5078e-23  1.1788e+00
6.4557e+06  2.5065e-23  1.1788e+00
6.4703e+06  2.5053e-23  1.1788e+00
6.4849e+06  2.5041e-23  1.1788e+00
6.4996e+06  2.5029e-23  1.1788e+00
6.5143e+06  2.5018e-23  1.1788e+00
6.5290e+06  2.5006e-23  1.1788e+00
6.5438e+06  2.4995e-23  1.1788e+00
6.5586e+06  2.4983e-23  1.1788e+00
6.5734e+06  2.4972e-23  1.1788e+00
6.5882e+06  2.4961e-23  1.1788e+00
6.6031e+06  2.4950e-23  1.1788e+00
6.6181e+06  2.4940e-23  1.1788e+00
6.6330e+06  2.4930e-23  1.1788e+00
6.6480e+06  2.4920e-23  1.1789e+00
6.6630e+06  2.4911e-23  1.1789e+00
6.6781e+06  2.4901e-23  1.1789e+00
6.6932e+06  2.4892e-23  1.1789e+00
6.7083e+06  2.4883e-23  1.1789e+00
6.7235e+06  2.4874e-23  1.1789e+00
6.7387e+06  2.4865e-23  1.1789e+00
6.7539e+06  2.4856e-23  1.1789e+00
6.7692e+06  2.4848e-23  1.1789e+00
6.7845e+06  2.4840e-23  1.1789e+00
6.7998e+06  2.4832e-23  1.1789e+00
6.8152e+06  2.4825e-23  1.1789e+00
6.8306e+06  2.4817e-23  1.1789e+00
6.8460e+06  2.4810e-23  1.1789e+00
6.8615e+06  2.4803e-23  1.1789e+00
6.8770e+06  2.4796e-23  1.1789e+00
6.8925e+06  2.4789e-23  1.1789e+00
6.9081e+06  2.4782e-23  1.1789e+00
6.9237e+06  2.4776e-23  1.1789e+00
6.9394e+06  2.4770e-23  1.1789e+00
6.9551e+06  2.4764e-23  1.1789e+00
6.9708e+06  2.4759e-23  1.1789e+00
6.9865e+06  2.4753e-23  1.1789e+00
7.0023e+06  2.4748e-23  1.1789e+00
7.0182e+06  2.4743e-23  1.1789e+00
7.0340e+06  2.4738e-23  1.1789e+00
7.0499e+06  2.4733e-23  1.1789e+00
7.0658e+06  2.4728e-23  1.1789e+00
7.0818e+06  2.4723e-23  1.1789e+00
7.0978e+06  2.4716e-23  1.1789e+00
7.1139e+06  2.4708e-23  1.1789e+00
7.1299e+06  2.4701e-23  1.1789e+00
7.1460e+06  2.4694e-23  1.1789e+00
7.1622e+06  2.4687e-23  1.1789e+00
7.1784e+06  2.4680e-23  1.1789e+00
7.1946e+06  2.4674e-23  1.1789e+00
7.2109e+06  2.4667e-23  1.1789e+00
7.2271e+06  2.4661e-23  1.1789e+00
7.2435e+06  2.4655e-23  1.1789e+00
7.2598e+06  2.4649e-23  1.1789e+00
7.2763e+06  2.4644e-23  1.1789e+00
7.2927e+06  2.4639e-23  1.1789e+00
7.3092e+06  2.4633e-23  1.1789e+00
7.3257e+06  2.4628e-23  1.1789e+00
7.3422e+06  2.4624e-23  1.1789e+00
7.3588e+06  2.4619e-23  1.1789e+00
7.3755e+06  2.4614e-23  1.1789e+00
7.3921e+06  2.4610e-23  1.1789e+00
7.4088e+06  2.4605e-23  1.1789e+00
7.4256e+06  2.4602e-23  1.1789e+00
7.4423e+06  2.4598e-23  1.1789e+00
7.4592e+06  2.4595e-23  1.1789e+00
7.4760e+06  2.4591e-23  1.1789e+00
7.4929e+06  2.4588e-23  1.1789e+00
7.5098e+06  2.4585e-23  1.1789e+00
7.5268e+06  2.4582e-23  1.1789e+00
7.5438e+06  2.4579e-23  1.1789e+00
7.5609e+06  2.4577e-23  1.1789e+00
7.5779e+06  2.4574e-23  1.1789e+00
7.5951e+06  2.4572e-23  1.1789e+00
7.6122e+06  2.4570e-23  1.1789e+00
7.6294e+06  2.4568e-23  1.1789e+00
7.6467e+06  2.4567e-23  1.1789e+00
7.6639e+06  2.4565e-23  1.1789e+00
7.6812e+06  2.4564e-23  1.1789e+00
7.6986e+06  2.4562e-23  1.1789e+00
7.7160e+06  2.4561e-23  1.1789e+00
7.7334e+06  2.4560e-23  1.1789e+00
7.7509e+06  2.4559e-23  1.1789e+00
7.7684e+06  2.4558e-23  1.1789e+00
7.7860e+06  2.4558e-23  1.1789e+00
7.8035e+06  2.4558e-23  1.1789e+00
7.8212e+06  2.4558e-23  1.1789e+00
7.8388e+06  2.4558e-23  1.1789e+00
7.8566e+06  2.4558e-23  1.1789e+00
7.8743e+06  2.4558e-23  1.1789e+00
7.8921e+06  2.4558e-23  1.1789e+00
7.9099e+06  2.4559e-23  1.1789e+00
7.9278e+06  2.4559e-23  1.1789e+00
7.9457e+06  2.4559e-23  1.1789e+00
7.9636e+06  2.4557e-23  1.1789e+00
7.9816e+06  2.4555e-23  1.1789e+00
7.9997e+06  2.4553e-23  1.1789e+00
8.0177e+06  2.4551e-23  1.1789e+00
8.0359e+06  2.4549e-23  1.1789e+00
8.0540e+06  2.4547e-23  1.1789e+00
8.0722e+06  2.4545e-23  1.1789e+00
8.0904e+06  2.4543e-23  1.1789e+00
8.1087e+06  2.4542e-23  1.1789e+00
8.1270e+06  2.4540e-23  1.1789e+00
8.1454e+06  2.4539e-23  1.1789e+00
8.1638e+06  2.4538e-23  1.1789e+00
8.1822e+06  2.4537e-23  1.1789e+00
8.2007e+06  2.4536e-23  1.1789e+00
8.2192e+06  2.4536e-23  1.1789e+00
8.2378e+06  2.4535e-23  1.1789e+00
8.2564e+06  2.4534e-23  1.1789e+00
8.2750e+06  2.4534e-23  1.1789e+00
8.2937e+06  2.4533e-23  1.1789e+00
8.3125e+06  2.4533e-23  1.1790e+00
8.3312e+06  2.4533e-23  1.1790e+00
8.3501e+06  2.4533e-23  1.1790e+00
8.3689e+06  2.4533e-23  1.1790e+00
8.3878e+06  2.4533e-23  1.1790e+00
8.4068e+06  2.4534e-23  1.1790e+00
8.4258e+06  2.4534e-23  1.1790e+00
8.4448e+06  2.4534e-23  1.1790e+00
8.4639e+06  2.4534e-23  1.1790e+00
8.4830e+06  2.4535e-23  1.1790e+00
8.5021e+06  2.4535e-23  1.1790e+00
8.5213e+06  2.4536e-23  1.1790e+00
8.5406e+06  2.4537e-23  1.1790e+00
8.5599e+06  2.4538e-23  1.1790e+00
8.5792e+06  2.4539e-23  1.1790e+00
8.5986e+06  2.4540e-23  1.1790e+00
8.6180e+06  2.4541e-23  1.1790e+00
8.6375e+06  2.4542e-23  1.1790e+00
8.6570e+06  2.4543e-23  1.1790e+00
8.6765e+06  2.4544e-23  1.1790e+00
8.6961e+06  2.4545e-23  1.1790e+00
8.7158e+06  2.4546e-23  1.1790e+00
8.7355e+06  2.4547e-23  1.1790e+00
8.7552e+06  2.4549e-23  1.1790e+00
8.7750e+06  2.4550e-23  1.1790e+00
8.7948e+06  2.4552e-23  1.1790e+00
8.8146e+06  2.4553e-23  1.1790e+00
8.8345e+06  2.4555e-23  1.1790e+00
8.8545e+06  2.4556e-23  1.1790e+00
8.8745e+06  2.4558e-23  1.1790e+00
8.8945e+06  2.4559e-23  1.1790e+00
8.9146e+06  2.4560e-23  1.1790e+00
8.9347e+06  2.4559e-23  1.1790e+00
8.9549e+06  2.4558e-23  1.1790e+00
8.9751e+06  2.4558e-23  1.1790e+00
8.9954e+06  2.4557e-23  1.1790e+00
9.0157e+06  2.4556e-23  1.1790e+00
9.0361e+06  2.4555e-23  1.1790e+00
9.0565e+06  2.4554e-23  1.1790e+00
9.0769e+06  2.4553e-23  1.1790e+00
9.0974e+06  2.4552e-23  1.1790e+00
9.1180e+06  2.4551e-23  1.1790e+00
9.1386e+06  2.4550e-23  1.1790e+00
9.1592e+06  2.4549e-23  1.1790e+00
9.1799e+06  2.4548e-23  1.1790e+00
9.2006e+06  2.4548e-23  1.1790e+00
9.2214e+06  2.4547e-23  1.1790e+00
9.2422e+06  2.4546e-23  1.1790e+00
9.2631e+06  2.4545e-23  1.1790e+00
9.2840e+06  2.4544e-23  1.1790e+00
9.3050e+06  2.4543e-23  1.1790e+00
9.3260e+06  2.4542e-23  1.1790e+00
9.3470e+06  2.4541e-23  1.1790e+00
9.3681e+06  2.4540e-23  1.1790e+00
9.3893e+06  2.4539e-23  1.1790e+00
9.4105e+06  2.4538e-23  1.1790e+00
9.4317e+06  2.4537e-23  1.1790e+00
9.4530e+06  2.4536e-23  1.1790e+00
9.4744e+06  2.4535e-23  1.1790e+00
9.4958e+06  2.4534e-23  1.1790e+00
9.5172e+06  2.4532e-23  1.1790e+00
9.5387e+06  2.4531e-23  1.1790e+00
9.5602e+06  2.4530e-23  1.1790e+00
9.5818e+06  2.4529e-23  1.1790e+00
9.6035e+06  2.4527e-23  1.1790e+00
9.6251e+06  2.4526e-23  1.1790e+00
9.6469e+06  2.4525e-23  1.1790e+00
9.6687e+06  2.4523e-23  1.1790e+00
9.6905e+06  2.4522e-23  1.1790e+00
9.7124e+06  2.4520e-23  1.1790e+00
9.7343e+06  2.4518e-23  1.1790e+00
9.7563e+06  2.4516e-23  1.1790e+00
9.7783e+06  2.4514e-23  1.1790e+00
9.8004e+06  2.4513e-23  1.1790e+00
9.8225e+06  2.4511e-23  1.1790e+00
9.8447e+06  2.4509e-23  1.1790e+00
9.8669e+06  2.4507e-23  1.1790e+00
9.8892e+06  2.4505e-23  1.1790e+00
9.9115e+06  2.4503e-23  1.1790e+00
9.9339e+06  2.4500e-23  1.1790e+00
9.9563e+06  2.4498e-23  1.1790e+00
9.9788e+06  2.4495e-23  1.1790e+00
1.0001e+07  2.4492e-23  1.1790e+00
1.0024e+07  2.4488e-23  1.1790e+00
1.0047e+07  2.4483e-23  1.1790e+00
1.0069e+07  2.4477e-23  1.1790e+00
1.0092e+07  2.4472e-23  1.1790e+00
1.0115e+07  2.4467e-23  1.1790e+00
1.0138e+07  2.4461e-23  1.1790e+00
1.0160e+07  2.4456e-23  1.1790e+00
1.0183e+07  2.4450e-23  1.1790e+00
1.0206e+07  2.4444e-23  1.1790e+00
1.0229e+07  2.4438e-23  1.1790e+00
1.0253e+07  2.4432e-23  1.1790e+00
1.0276e+07  2.4426e-23  1.1790e+00
1.0299e+07  2.4420e-23  1.1790e+00
1.0322e+07  2.4414e-23  1.1790e+00
1.0345e+07  2.4408e-23  1.1790e+00
1.0369e+07  2.4402e-23  1.1790e+00
1.0392e+07  2.4395e-23  1.1790e+00
1.0416e+07  2.4388e-23  1.1790e+00
1.0439e+07  2.4382e-23  1.1790e+00
1.0463e+07  2.4375e-23  1.1790e+00
1.0486e+07  2.4368e-23  1.1790e+00
1.0510e+07  2.4361e-23  1.1790e+00
1.0534e+07  2.4354e-23  1.1790e+00
1.0557e+07  2.4347e-23  1.1790e+00
1.0581e+07  2.4340e-23  1.1790e+00
1.0605e+07  2.4333e-23  1.1790e+00
1.0629e+07  2.4325e-23  1.1790e+00
1.0653e+07  2.4318e-23  1.1790e+00
1.0677e+07  2.4310e-23  1.1790e+00
1.0701e+07  2.4302e-23  1.1790e+00
1.0725e+07  2.4294e-23  1.1790e+00
1.0750e+07  2.4286e-23  1.1790e+00
1.0774e+07  2.4278e-23  1.1790e+00
1.0798e+07  2.4270e-23  1.1790e+00
1.0823e+07  2.4262e-23  1.1791e+00
1.0847e+07  2.4254e-23  1.1791e+00
1.0872e+07  2.4245e-23  1.1791e+00
1.0896e+07  2.4236e-23  1.1791e+00
1.0921e+07  2.4227e-23  1.1791e+00
1.0945e+07  2.4218e-23  1.1791e+00
1.0970e+07  2.4209e-23  1.1791e+00
1.0995e+07  2.4200e-23  1.1791e+00
1.1020e+07  2.4191e-23  1.1791e+00
1.1044e+07  2.4182e-23  1.1791e+00
1.1069e+07  2.4173e-23  1.1791e+00
1.1094e+07  2.4163e-23  1.1791e+00
1.1119e+07  2.4153e-23  1.1791e+00
1.1145e+07  2.4143e-23  1.1791e+00
1.1170e+07  2.4133e-23  1.1791e+00
1.1195e+07  2.4123e-23  1.1791e+00
1.1220e+07  2.4112e-23  1.1791e+00
1.1245e+07  2.4100e-23  1.1791e+00
1.1271e+07  2.4088e-23  1.1791e+00
1.1296e+07  2.4075e-23  1.1791e+00
1.1322e+07  2.4062e-23  1.1791e+00
1.1347e+07  2.4049e-23  1.1791e+00
1.1373e+07  2.4036e-23  1.1791e+00
1.1399e+07  2.4023e-23  1.1791e+00
1.1424e+07  2.4009e-23  1.1791e+00
1.1450e+07  2.3995e-23  1.1791e+00
1.1476e+07  2.3982e-23  1.1791e+00
1.1502e+07  2.3968e-23  1.1791e+00
1.1528e+07  2.3954e-23  1.1791e+00
1.1554e+07  2.3941e-23  1.1791e+00
1.1580e+07  2.3927e-23  1.1791e+00
1.1606e+07  2.3912e-23  1.1791e+00
1.1632e+07  2.3898e-23  1.1791e+00
1.1658e+07  2.3884e-23  1.1791e+00
1.1685e+07  2.3869e-23  1.1791e+00
1.1711e+07  2.3854e-23  1.1791e+00
1.1738e+07  2.3839e-23  1.1791e+00
1.1764e+07  2.3824e-23  1.1791e+00
1.1791e+07  2.3810e-23  1.1791e+00
1.1817e+07  2.3795e-23  1.1791e+00
1.1844e+07  2.3779e-23  1.1791e+00
1.1871e+07  2.3764e-23  1.1791e+00
1.1897e+07  2.3749e-23  1.1791e+00
1.1924e+07  2.3733e-23  1.1791e+00
1.1951e+07  2.3717e-23  1.1791e+00
1.1978e+07  2.3701e-23  1.1791e+00
1.2005e+07  2.3685e-23  1.1791e+00
1.2032e+07  2.3669e-23  1.1791e+00
1.2059e+07  2.3653e-23  1.1791e+00
1.2087e+07  2.3637e-23  1.1791e+00
1.2114e+07  2.3621e-23  1.1791e+00
1.2141e+07  2.3604e-23  1.1791e+00
1.2169e+07  2.3588e-23  1.1791e+00
1.2196e+07  2.3571e-23  1.1791e+00
1.2224e+07  2.3554e-23  1.1791e+00
1.2251e+07  2.3537e-23  1.1791e+00
1.2279e+07  2.3519e-23  1.1791e+00
1.2307e+07  2.3502e-23  1.1791e+00
1.2334e+07  2.3485e-23  1.1791e+00
1.2362e+07  2.3468e-23  1.1791e+00
1.2390e+07  2.3450e-23  1.1791e+00
1.2418e+07  2.3433e-23  1.1791e+00
1.2446e+07  2.3415e-23  1.1791e+00
1.2474e+07  2.3397e-23  1.1791e+00
1.2502e+07  2.3379e-23  1.1791e+00
1.2531e+07  2.3360e-23  1.1791e+00
1.2559e+07  2.3342e-23  1.1791e+00
1.2587e+07  2.3323e-23  1.1791e+00
1.2616e+07  2.3303e-23  1.1791e+00
1.2644e+07  2.3283e-23  1.1791e+00
1.2673e+07  2.3263e-23  1.1791e+00
1.2701e+07  2.3242e-23  1.1791e+00
1.2730e+07  2.3221e-23  1.1791e+00
1.2759e+07  2.3201e-23  1.1791e+00
1.2787e+07  2.3180e-23  1.1791e+00
1.2816e+07  2.3159e-23  1.1791e+00
1.2845e+07  2.3137e-23  1.1791e+00
1.2874e+07  2.3116e-23  1.1791e+00
1.2903e+07  2.3095e-23  1.1791e+00
1.2932e+07  2.3073e-23  1.1791e+00
1.2961e+07  2.3052e-23  1.1791e+00
1.2991e+07  2.3031e-23  1.1791e+00
1.3020e+07  2.3009e-23  1.1791e+00
1.3049e+07  2.2987e-23  1.1791e+00
1.3079e+07  2.2965e-23  1.1791e+00
1.3108e+07  2.2943e-23  1.1791e+00
1.3138e+07  2.2921e-23  1.1791e+00
1.3168e+07  2.2899e-23  1.1791e+00
1.3197e+07  2.2877e-23  1.1791e+00
1.3227e+07  2.2855e-23  1.1791e+00
1.3257e+07  2.2832e-23  1.1791e+00
1.3287e+07  2.2810e-23  1.1791e+00
1.3317e+07  2.2788e-23  1.1791e+00
1.3347e+07  2.2765e-23  1.1791e+00
1.3377e+07  2.2742e-23  1.1791e+00
1.3407e+07  2.2719e-23  1.1791e+00
1.3437e+07  2.2696e-23  1.1791e+00
1.3468e+07  2.2673e-23  1.1791e+00
1.3498e+07  2.2650e-23  1.1791e+00
1.3528e+07  2.2627e-23  1.1791e+00
1.3559e+07  2.2604e-23  1.1791e+00
1.3590e+07  2.2581e-23  1.1791e+00
1.3620e+07  2.2558e-23  1.1791e+00
1.3651e+07  2.2534e-23  1.1791e+00
1.3682e+07  2.2511e-23  1.1791e+00
1.3713e+07  2.2487e-23  1.1791e+00
1.3744e+07  2.2463e-23  1.1791e+00
1.3775e+07  2.2440e-23  1.1791e+00
1.3806e+07  2.2416e-23  1.1791e+00
1.3837e+07  2.2392e-23  1.1791e+00
1.3868e+07  2.2368e-23  1.1791e+00
1.3899e+07  2.2344e-23  1.1791e+00
1.3931e+07  2.2320e-23  1.1791e+00
1.3962e+07  2.2296e-23  1.1791e+00
1.3994e+07  2.2272e-23  1.1791e+00
1.4025e+07  2.2248e-23  1.1791e+00
1.4057e+07  2.2224e-23  1.1791e+00
1.4089e+07  2.2199e-23  1.1791e+00
1.4120e+07  2.2174e-23  1.1791e+00
1.4152e+07  2.2149e-23  1.1791e+00
1.4184e+07  2.2124e-23  1.1791e+00
1.4216e+07  2.2098e-23  1.1791e+00
1.4248e+07  2.2072e-23  1.1791e+00
1.4280e+07  2.2047e-23  1.1791e+00
1.4313e+07  2.2021e-23  1.1791e+00
1.4345e+07  2.1995e-23  1.1791e+00
1.4377e+07  2.1969e-23  1.1791e+00
1.4410e+07  2.1943e-23  1.1791e+00
1.4442e+07  2.1916e-23  1.1791e+00
1.4475e+07  2.1890e-23  1.1792e+00
1.4507e+07  2.1865e-23  1.1792e+00
1.4540e+07  2.1839e-23  1.1792e+00
1.4573e+07  2.1813e-23  1.1792e+00
1.4606e+07  2.1787e-23  1.1792e+00
1.4639e+07  2.1761e-23  1.1792e+00
1.4672e+07  2.1734e-23  1.1792e+00
1.4705e+07  2.1708e-23  1.1792e+00
1.4738e+07  2.1682e-23  1.1792e+00
1.4771e+07  2.1655e-23  1.1792e+00
1.4805e+07  2.1629e-23  1.1792e+00
1.4838e+07  2.1603e-23  1.1792e+00
1.4871e+07  2.1577e-23  1.1792e+00
1.4905e+07  2.1551e-23  1.1792e+00
1.4939e+07  2.1525e-23  1.1792e+00
1.4972e+07  2.1498e-23  1.1792e+00
1.5006e+07  2.1472e-23  1.1792e+00
1.5040e+07  2.1446e-23  1.1792e+00
1.5074e+07  2.1419e-23  1.1792e+00
1.5108e+07  2.1393e-23  1.1792e+00
1.5142e+07  2.1366e-23  1.1792e+00
1.5176e+07  2.1340e-23  1.1792e+00
1.5210e+07  2.1314e-23  1.1792e+00
1.5245e+07  2.1288e-23  1.1792e+00
1.5279e+07  2.1262e-23  1.1792e+00
1.5313e+07  2.1236e-23  1.1792e+00
1.5348e+07  2.1209e-23  1.1792e+00
1.5383e+07  2.1183e-23  1.1792e+00
1.5417e+07  2.1157e-23  1.1792e+00
1.5452e+07  2.1130e-23  1.1792e+00
1.5487e+07  2.1104e-23  1.1792e+00
1.5522e+07  2.1078e-23  1.1792e+00
1.5557e+07  2.1052e-23  1.1792e+00
1.5592e+07  2.1026e-23  1.1792e+00
1.5627e+07  2.1000e-23  1.1792e+00
1.5662e+07  2.0974e-23  1.1792e+00
1.5698e+07  2.0948e-23  1.1792e+00
1.5733e+07  2.0922e-23  1.1792e+00
1.5769e+07  2.0896e-23  1.1792e+00
1.5804e+07  2.0870e-23  1.1792e+00
